urls,query,answer,topic,token
https://en.wikipedia.org/wiki/High_Tension_(song),high tension akb48 center,Haruka Shimazaki,other,1778
https://en.wikipedia.org/wiki/Great_Basin_College,great basin college mascot,Bighorn Sheep,college,708
https://en.wikipedia.org/wiki/John_Carter_(businessman),Who was appointed CEO of Stark Building Materials UK Ltd. in March 2023 following the acquisition of Jewson by the STARK Group?,John Carter,son,192
https://en.wikipedia.org/wiki/Zack_Stortini,What was Zack Stortini's coaching position with the Sudbury Wolves in the 2019-20 season?,Assistant Coach,son,2597
https://en.wikipedia.org/wiki/Obed_Baloyi,tsutsuma real name,Obed Baloyi,real name,1177
https://en.wikipedia.org/wiki/Polaroid_Land_Camera_1000,polaroid land camera 1000 film type,SX-70 type film,other,246
https://en.wikipedia.org/wiki/The_Carpet_(The_Office),ed truck the office actor,Ken Howard,actor,1611
https://en.wikipedia.org/wiki/KNID,knid icao,Naval Air Weapons Station (NAWS) China Lake,other,119
https://en.wikipedia.org/wiki/Next_Friday_(soundtrack),next friday intro song,"""You Can Do It"" by Ice Cube featuring Mack 10 and Ms. Toi",son,957
https://en.wikipedia.org/wiki/Margareta_Bergman,ingmar bergman siblings,Dag Bergman (older brother) and Margareta Bergman (younger sister),other,468
https://en.wikipedia.org/wiki/Teghra_Assembly_constituency,Who won the Teghra constituency in the 2020 Bihar Legislative Assembly election?,Ram Ratan Singh,other,489
https://en.wikipedia.org/wiki/Baba_Kalyani_(film),baba kalyani release date,"December 15, 2006",release,1555
https://en.wikipedia.org/wiki/Mysore_literature_in_Kannada,mitravinda govinda written by,Singaraya,other,2371
https://en.wikipedia.org/wiki/Seema_Simham,seema simham movie director,G. Ram Prasad,director,2034
https://en.wikipedia.org/wiki/Linda_S._Stein,linda s stein cause of death,Homicide due to blunt impact trauma to the head and neck,cause of death,853
https://en.wikipedia.org/wiki/Chutuka,chutuka newspaper language,Kannada,other,158
https://en.wikipedia.org/wiki/Manasukkul_Mathappu,manasukkul mathappu music director,S. A. Rajkumar,director,1094
https://en.wikipedia.org/wiki/Jamal_Fogarty,jamal fogarty height (cm),177 cm (5 ft 10 in),height,1625
https://en.wikipedia.org/wiki/Arturo_Luz,arturo luz full name,Arturo Rogerio Dimayuga Luz,full name,624
https://en.wikipedia.org/wiki/Yungblud,yungblud first single,"King Charles, released on April 7, 2017",first,2419
https://en.wikipedia.org/wiki/Nirmala_Convent,nirmala convent hero name,Samuel Suri,hero,1291
https://en.wikipedia.org/wiki/2Rare,2rare date of birth,"August 12, 2000",date of birth,625
https://en.wikipedia.org/wiki/Ainaa_Jhyal_Ko_Putali,director of nepali movie aina jhyal ko putali,Sujit Bidari,director,1139
https://en.wikipedia.org/wiki/Nick_Benedict,nick benedict cause of death,complications from emergency spinal cord surgery,cause of death,1072
https://en.wikipedia.org/wiki/M._H._Khandaker,first attorney general of bangladesh,M. H. Khandaker,first,111
https://en.wikipedia.org/wiki/Aida_(musical),aida (opera) composer,Giuseppe Verdi,composer,2363
https://en.wikipedia.org/wiki/Ri_Song-gum,ri song gum height (cm),140 cm (4 ft 7 in),son,615
https://en.wikipedia.org/wiki/2025_Charlotte_49ers_football_team,Who was the Charlotte 49ers football team's Offensive Coordinator hired in January 2025?,Todd Fitch,other,3383
https://en.wikipedia.org/wiki/Judith_Scott_(American_actress),claudia snowfall actress,Judith Scott,actress,2121
https://en.wikipedia.org/wiki/Nairobi_Dam,where is nairobi dam,"Nairobi, Kenya",where,352
https://en.wikipedia.org/wiki/Madhi_(2022_film),madhi movie release date,"November 11, 2022",release,295
https://en.wikipedia.org/wiki/Unskinny_Bop,poison unskinny bop release date,"June 18, 1990",release,834
https://wikipedia.nucleos.com/viewer/wikipedia_en_all/A/Rodu_Sultan,rodu sultan postal code,35160,other,0
https://en.wikipedia.org/wiki/House_of_Deputies,Who was the president of the House of Deputies of the Episcopal Church elected in 2022?,Julia Ayala Harris,other,1343
https://en.wikipedia.org/wiki/Anticarsia_irrorata,anticarsia irrorata common name,owl moth,other,424
https://en.wikipedia.org/wiki/Shanta_Apte,shanta apte daughter,Nayana Apte,daughter,2311
https://en.wikipedia.org/wiki/JJ_Grey_%26_Mofro,jj grey real name,John Higginbotham,real name,1448
https://en.wikipedia.org/wiki/Yokosuka_Museum_of_Art,yokosuka museum of art architect,Riken Yamamoto,other,169
https://en.wikipedia.org/wiki/Brookland-Cayce_High_School,brookland cayce high school address,"1300 State Street, Cayce, South Carolina 29033",address,389
https://en.wikipedia.org/wiki/Frederick_James_Halliday,first lieutenant governor of bengal,Sir Frederick James Halliday,first,1462
https://en.wikipedia.org/wiki/George_Jefferson,how many dry cleaners did george jefferson own,seven,son,2131
https://en.wikipedia.org/wiki/Elie_Hobeika,elie hobeika son,"Joseph ""Joe"" Hobeika",son,2192
https://en.wikipedia.org/wiki/O%27Landa_Draper,o landa draper cause of death,renal failure,cause of death,1446
https://en.wikipedia.org/wiki/Camp_Bagong_Diwa,address of camp bagong diwa,"General Santos Avenue, Lower Bicutan, Taguig City, Metro Manila, Philippines",address,746
https://en.wikipedia.org/wiki/Malusi_Gigaba,malusi gigaba place of birth,"Eshowe, Natal Province (now KwaZulu-Natal), South Africa",other,2091
https://en.wikipedia.org/wiki/Modasa_Assembly_constituency,modasa mla name 2022,Bhikhusinhji Chatursinhji Parmar,other,249
https://en.wikipedia.org/wiki/List_of_Bunk%27d_episodes,bunk d final episode date,"August 2, 2024",episode,219
https://en.wikipedia.org/wiki/Dinesh_Sarangi,kunal sarangi father name,Dinesh Sarangi,father,130
https://en.wikipedia.org/wiki/Gudachari_116,gudachari 116 release date,"August 11, 1966",release,2031
https://en.wikipedia.org/wiki/Isa_Pa_with_Feelings,isa pa with feelings director,Prime Cruz,director,625
https://en.wikipedia.org/wiki/Ejay_Falcon,ejay falcon real name,Edward Jake Lasap Falcon,real name,2699
https://en.wikipedia.org/wiki/Shmuel_Greenberg,"Who became the mayor of Beit Shemesh on March 31, 2024?",Shmuel Greenberg,other,760
https://en.wikipedia.org/wiki/Zachariayude_Garbhinikal,zachariyayude garbhinikal director,Aneesh Anwar,director,892
https://en.wikipedia.org/wiki/Don%27t_Break_the_Ice,don t break the ice penguin name,Phillip the Penguin,other,314
https://en.wikipedia.org/wiki/Vishvaraj_Singh_Mewar,vishvaraj singh children,Devajaditya Singh and Baisa Jayati Kumari,children,694
https://en.wikipedia.org/wiki/Vic_Hayes,vic hayes nationality,Indonesian,nationality,617
https://en.wikipedia.org/wiki/Noel_Fielding,noel fielding parents,Yvonne Fagan and Ray Fielding,parents,2240
https://en.wikipedia.org/wiki/O.Y.G_Redrum_781,oyg redrum 781 cause of death,bone cancer,cause of death,1283
https://en.wikipedia.org/wiki/Ambodala_railway_station,ambodala which state,"Odisha, India",other,190
https://en.wikipedia.org/wiki/Fairholme_College,fairholme college religion,Presbyterian Church of Queensland,college,1698
https://en.wikipedia.org/wiki/Billy%27s_Bucket_List,canyon voice actor adventure time,Ako Castuera,actor,1621
https://en.wikipedia.org/wiki/Akita_Prefecture,"What was the estimated population of Akita Prefecture, Japan on August 1, 2023?","915,691",population,2902
https://en.wikipedia.org/wiki/Cindy_Marina,cindy marina height (feet),"5 feet 11 inches (5'11"") or 180 cm",height,903
https://en.wikipedia.org/wiki/Nawal_El_Zoghbi,nawal zoghbi religion,Maronite Christian,other,2455
https://en.wikipedia.org/wiki/Pokkisham,pokkisham movie release date,"August 14, 2009",release,973
https://en.wikipedia.org/wiki/Khaliajuri_Upazila,khaliajuri post code,2460,other,1243
"https://en.wikipedia.org/wiki/Murray_Edwards_College,_Cambridge",murray edwards college crest,"A dolphin, three stars, and an embattled border on a black background.",college,"2274,0"
https://en.wikipedia.org/wiki/The_Wild_Hunt_(Grimm),on what episode did monroe propose to rosalee,"Season 3 Episode 12, 'The Wild Hunt' (January 24, 2014)",episode,858
https://en.wikipedia.org/wiki/Rohit_Sharma,"How many ICC trophies had Rohit Sharma won as of April 10, 2025?",4,other,2398
https://en.wikipedia.org/wiki/Maldevi_River,anantraj sagar tank was built by which empire,Vijayanagara empire,other,100
https://en.wikipedia.org/wiki/H._Raja,h raja full name,Hariharan Raja Sharma,full name,2218
https://en.wikipedia.org/wiki/Jang_Hyuk,jang hyuk birthday,"December 20, 1976",birthday,2255
https://en.wikipedia.org/wiki/Hiruni_Wijesinghe,Who was the youngest member of the Sri Lankan Parliament elected in the November 2024 elections?,Hiruni Wijesinghe,other,122
https://en.wikipedia.org/wiki/Bombay_Courier,bombay herald newspaper founder,William Ashburner,founder,138
https://en.wikipedia.org/wiki/Prime_Minister_of_Algeria,Who was the Prime Minister of Algeria after assuming office in November 2023?,Nadir Larbaoui,other,777
"https://en.wikipedia.org/wiki/Burke,_Vermont","What was the population of Burke, Vermont according to the 2020 US Census?","1,651",population,"2419,0"
https://en.wikipedia.org/wiki/Borough_of_Swale,Who was elected Mayor of Swale in May 2024?,Cllr Ben Martin,other,2426
https://en.wikipedia.org/wiki/Leif_Erikson_Awards,leif erikson lunar prize given by,"The Exploration Museum in Húsavík, Iceland",son,2196
https://en.wikipedia.org/wiki/Le_Portel,"What was the population of Le Portel, France according to Wikipedia in 2022?","8,824",population,561
https://en.wikipedia.org/wiki/Cape_Mendocino,western most point in continental california,Cape Mendocino,other,640
https://en.wikipedia.org/wiki/Bles_Bridges,bles bridges cause of death,Motorcar accident,cause of death,1345
https://en.wikipedia.org/wiki/Lokesh_Ghosh,lokesh ghosh father name,Debesh Ghosh,father,1543
https://en.wikipedia.org/wiki/Kanpuriye,kanpuriye release date,"October 25, 2019",release,496
https://en.wikipedia.org/wiki/Hagerty_(insurance),hagerty founder,Frank and Louise Hagerty,founder,720
https://en.wikipedia.org/wiki/Kevin_Mbabu,What kit number does Kevin Mbabu wear for FC Midtjylland?,43,other,2356
https://en.wikipedia.org/wiki/Thessaloniki_Metro,thessaloniki metro opening date,"November 30, 2024",other,2426
https://en.wikipedia.org/wiki/Ray_Chen,ray chen nationality,Taiwanese-Australian,nationality,1987
https://en.wikipedia.org/wiki/Noor_Jehan_Panezai,the first woman deputy chairman of senate of pakistan was,Dr. Noor Jehan Panezai,first,122
https://en.wikipedia.org/wiki/John_S._Pillsbury,minnesota's eighth governor,John S. Pillsbury,other,944
https://en.wikipedia.org/wiki/Mubarak_Ahmad_Khan,sonali bag inventor,Mubarak Ahmad Khan,son,1690
https://en.wikipedia.org/wiki/Jasper_Dolphin,jasper dolphin birthday,"September 28, 1990",birthday,1904
https://en.wikipedia.org/wiki/Dongala_Bandi,dongala bandi release date,"December 12, 2008",release,621
https://en.wikipedia.org/wiki/SS_Scotiadoc,deepest shipwreck in lake superior,SS Scotiadoc at 850 feet (259 meters),other,349
https://en.wikipedia.org/wiki/Schoellkopf_Field,cornell football stadium capacity,"21,500",capacity,1016
https://en.wikipedia.org/wiki/All_That_I_Got_Is_You,ghostface killah all that i got is you release date,"September 22, 1996",release,796
"https://en.wikipedia.org/wiki/Duchess,_Alberta","What was the population of Duchess, Alberta according to the 2021 Census of Population?","1,053",population,"2239,0"
https://en.wikipedia.org/wiki/Madipur_Assembly_constituency,Who was elected as the Member of Legislative Assembly (MLA) for the Madipur constituency in Delhi in the 2025 Delhi Assembly elections?,Kailash Gangwal,other,722
https://en.wikipedia.org/wiki/Ariella_Arida,ariella arida full name,Ariella Hernandez Arida,full name,1538
https://en.wikipedia.org/wiki/Kova_Laxmi,Who won the Asifabad (ST) constituency in the 2023 Telangana Assembly elections?,Smt. Kova Laxmi,other,218
https://en.wikipedia.org/wiki/Jack_Conley_(actor),ncis sportelli actor,Jack Conley,actor,2470
https://en.wikipedia.org/wiki/Sardar_Nadir_Akmal_Khan_Leghari,sayeeda leghari husband,Nadir Akmal Khan Leghari,husband,243
https://en.wikipedia.org/wiki/Charlie_De_Melo,imran habeeb played by,Charlie De Melo,played by,1129
https://en.wikipedia.org/wiki/Kannukkul_Nilavu,kannukkul nilavu music director,Ilaiyaraaja,director,2038
https://en.wikipedia.org/wiki/Crescent_Girls%27_School,crescent girls school motto,"Courtesy, Generosity, Sincerity",motto,1139
https://en.wikipedia.org/wiki/Lake_Fenton_(Michigan),lake fenton acres,845 acres,acres,93
https://en.wikipedia.org/wiki/Nee_Thodu_Kavali,charmi first movie name,Nee Thodu Kavali,first,678
https://en.wikipedia.org/wiki/Hexylcaine,hexylcaine iupac name,1-(cyclohexylamino)propan-2-yl benzoate,other,210
https://en.wikipedia.org/wiki/Shailendra_Singh_(singer),shailendra singh date of birth,"October 4, 1952",date of birth,2193
https://en.wikipedia.org/wiki/2024_Copa_Argentina,Who won the 2024 Copa Argentina?,Central Córdoba (SdE),other,2349
https://en.wikipedia.org/wiki/Poovilangu,poovilangu actress name,Kuyili,actress,688
https://en.wikipedia.org/wiki/Akanvariva_Lydia_Lamisi ,Who was the MP for Tempane as of February 2025?,Akanvariva Lydia Lamisi,other,407
https://en.wikipedia.org/wiki/Emilia_Rydberg,teshome mitiku daughter,Hanna Emilia Rydberg-Mitiku,daughter,1572
https://en.wikipedia.org/wiki/Ainaa_Jhyal_Ko_Putali,director of aina jhyal ko putali,Sujit Bidari,director,3261
https://en.wikipedia.org/wiki/Kawhena_Woodman,portia woodman father,Kawhena Woodman,father,209
https://en.wikipedia.org/wiki/Kelly_Kapoor,kelly kapoor full name,Kelly Rajanigandha Kapoor,full name,1746
https://en.wikipedia.org/wiki/North_Arlington_High_School,Who was the principal of North Arlington High School as of the time this answer was generated?,Patrick D. Bott,other,1201
https://en.wikipedia.org/wiki/List_of_mayors_of_Belfast,"Who was installed as Lord Mayor of Belfast on June 3, 2024?",Councillor Micky Murray,other,3098
https://en.wikipedia.org/wiki/Soichi_Terada,ape escape composer,Soichi Terada,composer,1752
https://en.wikipedia.org/wiki/Chalisgaon_Assembly_constituency,Who won the election for MLA of the Chalisgaon constituency in Maharashtra in November 2024?,Mangesh Chavan,other,447
https://en.wikipedia.org/wiki/Steven_Spurrier_(wine_merchant),steven spurrier cause of death (wine merchant),cancer,cause of death,1032
https://en.wikipedia.org/wiki/Leo_Thompson,leo thompson (rugby) height (cm),186 cm (6 ft 1 in),son,623
https://en.wikipedia.org/wiki/Pizza_Delight,Who owned Pizza Delight in December 2017?,MTY Food Group,other,346
https://en.wikipedia.org/wiki/Barnet_London_Borough_Council,"Who was the Mayor of Barnet sworn in on May 21, 2024?",Councillor Tony Vourou,other,1743
https://en.wikipedia.org/wiki/Harold_Mayot,harold mayot height (feet),"5'11"" (180 cm)",height,2853
https://en.wikipedia.org/wiki/WHNS,fox carolina call letters,WHNS,other,2160
https://en.wikipedia.org/wiki/Narrabri_Shire,What was the population of Narrabri Shire according to the 2021 Census?,"12,703 people",population,1610
https://en.wikipedia.org/wiki/Noel_Pedregosa,"Who was appointed Bishop of Malaybalay on June 29, 2021?",Most Rev. Noel P. Pedregosa,other,415
https://en.wikipedia.org/wiki/Prithvipur_Assembly_constituency,Who won the Prithvipur Assembly constituency seat in the 2023 elections?,Nitendra Singh Rathore,other,510
https://en.wikipedia.org/wiki/The_Westcott_Theater,westcott theater capacity,700 people,capacity,486
https://en.wikipedia.org/wiki/Wetherby_Road,What was the name of Harrogate Town's stadium at the start of the 2024/25 season?,The Exercise Stadium,son,635
https://en.wikipedia.org/wiki/Lake_Murray_(Papua_New_Guinea),what is the largest lake in papua new guinea,Lake Murray,other,599
https://en.wikipedia.org/wiki/List_of_Suzuka_Circuit_fatalities,daijiro kato cause of death,Brain stem infarction,cause of death,2474
"https://en.wikipedia.org/wiki/Uzunge%C3%A7it,_Uludere","What was the population of Uzungeçit, Turkey in 2023?","3,312",population,"0,0"
https://en.wikipedia.org/wiki/Aattukara_Alamelu,aattukara alamelu music director,Shankar–Ganesh,director,745
https://en.wikipedia.org/wiki/Bexleyheath_and_Crayford_(UK_Parliament_constituency),Who was the Member of Parliament (MP) for Bexleyheath and Crayford as of July 2024?,Daniel Francis,other,3192
"https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa","On what date was Cedar Rapids, Iowa officially incorporated?","January 15, 1849",other,"2797,0"
https://en.wikipedia.org/wiki/Dikesh_Malhotra,dikesh malhotra mother,Sabita Malhotra,mother,2832
https://en.wikipedia.org/wiki/Goreyan_Nu_Daffa_Karo,goreyan nu daffa karo release date,"September 12, 2014",release,530
https://en.wikipedia.org/wiki/Hot_air_oven,hot air oven discovered by,Louis Pasteur,other,572
https://en.wikipedia.org/wiki/Follow_Your_Heart_(company),follow your heart founders,"Michael Besançon, Bob Goldberg, Paul Lewin, and Spencer Windbiel",founder,450
https://en.wikipedia.org/wiki/Mary_Garman,roy campbell wife,Mary Margaret Garman,wife,857
https://en.wikipedia.org/wiki/Jack_Mullaney,jack mullaney cause of death,stroke,cause of death,1072
https://en.wikipedia.org/wiki/Don_Gummer,don gummer full name,Donald James Gummer,full name,1139
https://en.wikipedia.org/wiki/Di_Dang,urindanger poker player,Di Dang,other,449
https://en.wikipedia.org/wiki/Rhasaan_Orange,renato laranja real name,Rhasaan Orange,real name,512
https://en.wikipedia.org/wiki/Miss_Universe_1995,miss universe 1995 1st runner up,Manpreet Brar from India,other,2158
https://en.wikipedia.org/wiki/Abhay_(2009_film),abhay 2009 film release date,"October 2, 2009",release,656
https://en.wikipedia.org/wiki/Mark_Slaughter,mark slaughter full name,Mark Allen Slaughter,full name,502
https://en.wikipedia.org/wiki/North_Kingstown_School_Department,north kingstown school department address,"100 Romano Vineyard Way, Suite 120",address,270
https://en.wikipedia.org/wiki/Apphia_Yu,hat kid voice actor,Apphia Yu,actor,1688
https://en.wikipedia.org/wiki/C.I.D._Moosa,cid moosa dog name,Arjun,other,2451
https://en.wikipedia.org/wiki/Lieutenant_Governor_of_Guernsey,"Who was the Lieutenant Governor of Guernsey sworn in on February 15, 2022?",Lieutenant General Richard Cripwell,other,1596
https://en.wikipedia.org/wiki/A._B._Raj,saranya ponvannan father,A. B. Raj (Antony Basker Raj),father,946
"https://en.wikipedia.org/wiki/Oak_Ridge,_Louisiana",what parish is oak ridge la in,Morehouse Parish,other,"1082,0"
https://en.wikipedia.org/wiki/Brisbane_Heat_(WBBL),Who was the Brisbane Heat WBBL coach appointed in June 2024?,Mark Sorell,other,2350
https://en.wikipedia.org/wiki/Betul_Assembly_constituency,Who won the Betul constituency MLA seat in the 2023 Madhya Pradesh elections?,Hemant Vijay Khandelwal,other,447
https://en.wikipedia.org/wiki/Hari_Shankar_Tiwari,harishankar tiwari death date,"May 16, 2023",death date,971
https://en.wikipedia.org/wiki/Hispanic_Causing_Panic,kid frost first album,"Hispanic Causing Panic, released on July 10, 1990",first,624
https://en.wikipedia.org/wiki/Municipal_college,oldest municipal college in the united states,College of Charleston,college,192
https://en.wikipedia.org/wiki/Sharman_Joshi,sharman joshi mother,Usha Joshi,mother,2629
https://en.wikipedia.org/wiki/Midtown_High_School_(Atlanta),"What is the mascot for Midtown High School in Atlanta, Georgia?",Knight,other,2218
https://en.wikipedia.org/wiki/List_of_Love_Thy_Woman_episodes,how many episodes does love thy woman have,95,episode,103
https://en.wikipedia.org/wiki/Tunji_Balogun,In what year did Tunji Balogun graduate from Pomona College?,2004,other,434
https://en.wikipedia.org/wiki/Gianmarco_Soresi,gianmarco soresi birthday,"August 20, 1988",birthday,1673
https://en.wikipedia.org/wiki/Columbia_Southern_University,columbia southern university mascot,Sir Maximus the CSU Knight,other,581
https://en.wikipedia.org/wiki/Paattali,pattali movie director,K. S. Ravikumar,director,1501
